Model,Location,Miles,Prices,Year,Scraped_On
 Nissan versa SV Sedan 4D,"Cincinnati, OH",100K miles,"$5,299",2016,2024-07-01
 Toyota camry,"Cincinnati, OH",110K miles,"$6,900",2009,2024-07-01
 Mazda mazda3,"Hamilton, OH",92K miles,"$7,999",2017,2024-07-01
 Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",143K miles,"$4,500",2013,2024-07-01
 Mazda mazda3 i Touring Sedan 4D,"Cincinnati, OH",20K miles,"$3,300",2010,2024-07-01
 Nissan altima 2.5 SL Sedan 4D,"Cincinnati, OH",113K miles,"$6,500",2013,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Hamilton, OH",144K miles,"$4,800",2015,2024-07-01
 Nissan versa sedan,"Shelbyville, KY",96K miles,"$7,500",2017,2024-07-01
 Toyota camry L Sedan 4D,"Fairfield, OH",43K miles,"$18,995",2019,2024-07-01
 Ford fusion SE Sedan 4D,"Dayton, OH",73K miles,"$8,900",2016,2024-07-01
 Ford fusion SE Sedan 4D,"Florence, KY",102K miles,"$5,500",2013,2024-07-01
 Chevrolet cruze LS Sedan 4D,"Florence, KY",140K miles,"$6,000",2012,2024-07-01
 Ford fusion S Sedan 4D,"Lexington, KY",84K miles,"$8,000",2017,2024-07-01
 Toyota camry XSE Sedan 4D,"Monroe, OH",198K miles,"$7,500",2015,2024-07-01
 Ford fusion SE Sedan 4D,"Cincinnati, OH",120K miles,"$6,750",2017,2024-07-01
 Nissan altima 3.5 SR Sedan 4D,"Cincinnati, OH",76K miles,"$8,500",2016,2024-07-01
 Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",152K miles,"$3,500",2011,2024-07-01
 Nissan maxima SR (2017.5) Sedan 4D,"Cincinnati, OH",87K miles,"$9,800",2017,2024-07-01
 Nissan rogue S Sport Utility 4D,"Cincinnati, OH",65K miles,"$9,000",2016,2024-07-01
 Honda fit LX Hatchback 4D,"Cincinnati, OH",82K miles,"$8,999",2017,2024-07-01
 Honda accord sport 2.4l l4 fwd,"Cincinnati, OH",93K miles,"$13,993",2017,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Florence, KY",133K miles,"$3,500",2011,2024-07-01
 Nissan rogue SV Sport Utility 4D,"Cincinnati, OH",55K miles,"$8,800",2015,2024-07-01
 Ford focus titanium,"Campbellsburg, KY",117K miles,"$6,500",2016,2024-07-01
 Toyota matrix S Sport Wagon 4D,"Florence, KY",147K miles,"$6,100",2009,2024-07-01
 Acura tlx 3.5 Sedan 4D,"Cincinnati, OH",97K miles,"$10,250",2015,2024-07-01
 Hyundai accent se 6a,"Hamilton, OH",47K miles,"$14,900",2021,2024-07-01
 Kia optima SX Sedan 4D,"Cincinnati, OH",147K miles,"$5,299",2012,2024-07-01
 Kia optima EX Sedan 4D,"Cincinnati, OH",174K miles,"$6,900",2015,2024-07-01
 Ford fiesta SE Hatchback 4D,"Fort Mitchell, KY",110K miles,"$5,000",2011,2024-07-01
 Honda hr-v LX Sport Utility 4D,"Cincinnati, OH",105K miles,"$11,500",2016,2024-07-01
 Honda fit Hatchback 4D,"Cincinnati, OH",87K miles,"$5,900",2012,2024-07-01
 Mazda mazda3 s Sport Sedan 4D,"Fort Thomas, KY",301K miles,"$1,500",2008,2024-07-01
 Lexus IS 250 Sport Sedan 4D,"Newport, KY",163K miles,"$4,000",2009,2024-07-01
 Chevrolet malibu,"Cincinnati, OH",118K miles,"$9,995",2016,2024-07-01
 Chevrolet equinox LT Sport Utility 4D,"Latonia, KY",17K miles,"$5,600",2012,2024-07-01
 Mazda mazda3 i Touring Value Sedan 4D,"Cincinnati, OH",155K miles,"$3,000",2009,2024-07-01
 Ford escape SE Sport Utility 4D,"Cincinnati, OH",83K miles,"$6,900",2017,2024-07-01
 Chevrolet cruze LT Sedan 4D,"Cincinnati, OH",102K miles · Dealership,"$4,900",2014,2024-07-01
 Nissan rogue S Sport Utility 4D,"Lawrenceburg, IN",90K miles,"$5,500",2011,2024-07-01
 Ford fusion SEL Sedan 4D,"Dayton, OH",115K miles,"$5,995",2010,2024-07-01
 Nissan altima,"Cincinnati, OH",175K miles,"$2,000",2016,2024-07-01
" Honda civic $1,500 down","Hamilton, OH",130K miles,"$1,500",2015,2024-07-01
 Chevrolet cruze limited 2LT Sedan 4D,"Dry Ridge, KY",161K miles,"$7,500",2016,2024-07-01
 Ford fiesta S Sedan 4D,"Dayton, OH",124K miles,"$3,700",2013,2024-07-01
 Nissan versa sv (down-payment),"Cincinnati, OH",83K miles,"$1,500",2019,2024-07-01
 Kia optima EX Sedan 4D,"Cincinnati, OH",146K miles,"$4,000",2011,2024-07-01
 Volkswagen passat Komfort Sedan 4D,"Latonia, KY",77K miles,"$2,000",2009,2024-07-01
 Dodge dart SXT Sedan 4D,"West Chester, OH",138K miles,"$5,500",2013,2024-07-01
 Honda accord EX Sedan 4D,"La Grange, KY",180K miles,"$5,900",2011,2024-07-01
 Hyundai sonata,"Butler, KY",146K miles,"$3,000",2004,2024-07-01
 Kia Soul,"Cincinnati, OH",80K miles · Dealership,"$7,999",2019,2024-07-01
 Infiniti q50,"Independence, KY",62K miles,"$15,992",2016,2024-07-01
 Chrysler 200 Touring Sedan 4D,"Cincinnati, OH",130K miles,"$3,300",2013,2024-07-01
 Honda civic Sport Sedan 4D,"Mason, OH",20K miles,"$18,000",2022,2024-07-01
 Chrysler 200 Limited Sedan 4D,"Cincinnati, OH",112K miles · Dealership,"$5,495",2015,2024-07-01
 Jaguar s-type Sedan 4D,"Hamilton, OH",83K miles,"$8,650",2008,2024-07-01
 Nissan altima 2.5 S Coupe 2D,"Cincinnati, OH",160K miles,"$3,900",2013,2024-07-01
 Toyota highlander,"Cincinnati, OH",150K miles,"$8,000",2011,2024-07-01
 Toyota rav4 Sport SUV 4D,"Milford, OH",119K miles,"$7,900",2012,2024-07-01
 Toyota highlander Limited Sport Utility 4D,"Newport, KY",155K miles,"$14,900",2014,2024-07-01
 Honda cr-v EX-L Sport Utility 4D,"Cincinnati, OH",212K miles,"$6,995",2013,2024-07-01
 Toyota venza Wagon 4D,"Cincinnati, OH",158K miles,"$7,000",2011,2024-07-01
 BMW 5 series 535i Sedan 4D,"Cincinnati, OH",135K miles,"$7,999",2012,2024-07-01
 Mazda mazda5 Sport Minivan 4D,"Shelbyville, KY",57K miles,"$7,500",2010,2024-07-01
 Kia forte S Sedan 4D,"Hamilton, OH",113K miles,$500,2017,2024-07-01
 Honda cr-z EX Coupe 2D,"Springfield, OH",144K miles,"$8,450",2012,2024-07-01
 Chevrolet sonic,"Cincinnati, OH",97K miles,"$3,000",2015,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Fort Mitchell, KY",166K miles,"$3,300",2010,2024-07-01
 Ford focus SE Sedan 4D,"Cincinnati, OH",123K miles,"$2,995",2012,2024-07-01
 Hyundai genesis 4.6 Sedan 4D,"Cincinnati, OH",160K miles,"$4,950",2011,2024-07-01
 Nissan sentra,"Louisville, KY",175K miles,"$2,000",2017,2024-07-01
 Jeep grand cherokee,"Cincinnati, OH",128K miles,"$3,000",2016,2024-07-01
 Volkswagen cc Sport Sedan 4D,"Cincinnati, OH",131K miles,"$4,500",2009,2024-07-01
 Hyundai elantra SE Sedan 4D,"Cincinnati, OH",80K miles,"$7,000",2015,2024-07-01
 Hyundai elantra SEL Sedan 4D,"Cincinnati, OH",88K miles,"$9,900",2019,2024-07-01
 Honda civic LX Sedan 4D,"Independence, KY",110K miles,"$8,000",2012,2024-07-01
 Honda civic LX Sedan 4D,"Morrow, OH",109K miles,"$6,400",2012,2024-07-01
 Toyota corolla,"West Chester, OH",89K miles,"$10,495",2016,2024-07-01
 Kia optima LX Sedan 4D,"Miamisburg, OH",85K miles,"$5,600",2014,2024-07-01
 Hyundai sonata SE Sedan 4D,"Cincinnati, OH",90K miles,"$7,500",2016,2024-07-01
 Volkswagen jetta 1.4T R-Line Sedan 4D,"Florence, KY",38K miles,"$16,799",2020,2024-07-01
 Nissan sentra SR Sedan 4D,"Florence, KY",98K miles,"$4,600",2016,2024-07-01
 Ford focus SE,"Nicholasville, KY",55K miles,"$6,999",2017,2024-07-01
 Honda accord LX Sedan 4D,"Simpsonville, KY",103K miles,"$11,950",2015,2024-07-01
 Nissan altima 3.5 SL Sedan 4D,"Maysville, KY",91K miles,"$7,500",2013,2024-07-01
 Toyota camry LE Sedan 4D,"Florence, KY",98K miles,"$8,399",2003,2024-07-01
 Kia optima SX Sedan 4D,"Cincinnati, OH",119K miles,"$9,000",2011,2024-07-01
 Kia optima EX Hybrid Sedan 4D,"Okeana, OH",124K miles,"$8,000",2013,2024-07-01
 Honda civic LX Sedan 4D,"Fairfield, OH",153K miles,"$5,000",2011,2024-07-01
 Honda insight ex 1.3 l4 fwd,"Cincinnati, OH",83K miles,"$8,993",2010,2024-07-01
 Audi a4 2.0T Premium Sedan 4D,"Cleves, OH",110K miles,"$6,500",2010,2024-07-01
 Ford fusion SE Sedan 4D,"Ripley, OH",106K miles,"$6,000",2013,2024-07-01
 Ford fiesta SE Sedan 4D,"Dayton, OH",89K miles,"$4,250",2014,2024-07-01
 Volkswagen new beetle S Convertible 2D,"Cincinnati, OH",128K miles,"$2,600",2008,2024-07-01
 Chevrolet cruze LS Hatchback 4D,"Cincinnati, OH",109K miles,"$6,400",2019,2024-07-01
 Ford focus SE Sedan 4D,"Cincinnati, OH",161K miles,"$5,500",2016,2024-07-01
 Ford fusion SE Hybrid Sedan 4D,"Cincinnati, OH",100K miles,"$8,000",2017,2024-07-01
 Toyota camry LE Sedan 4D,"Cincinnati, OH",235K miles,"$3,500",2010,2024-07-01
 Ford fusion SE Sedan 4D,"Cincinnati, OH",96K miles,"$10,500",2017,2024-07-01
 Subaru impreza 2.5i Sport Wagon 4D,"Alexandria, KY",108K miles,"$4,999",2006,2024-07-01
 Toyota camry LE,"Cincinnati, OH",194K miles · Dealership,"$3,400",2007,2024-07-01
 Ford fusion SE Sedan 4D,"Florence, KY",106K miles,"$3,500",2010,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Covington, KY",152K miles,"$3,600",2010,2024-07-01
 Toyota camry XLE Sedan 4D,"Cincinnati, OH",192K miles,"$3,900",2007,2024-07-01
 Chevrolet cruze LT Sedan 4D,"South Lebanon, OH",110K miles,"$4,900",2013,2024-07-01
 Subaru outback 2.5i Premium Wagon 4D,"Mason, OH",139K miles,"$5,800",2011,2024-07-01
 Nissan altima 2.5 S Coupe 2D,"Amelia, OH",152K miles,"$5,400",2009,2024-07-01
 Chevrolet cruze LS Sedan 4D,"Cincinnati, OH",106K miles,"$4,500",2018,2024-07-01
 Volkswagen tiguan 2.0,"Cincinnati, OH",136K miles,"$4,300",2009,2024-07-01
 Hyundai elantra SE Sedan 4D,"Falmouth, KY",192K miles,"$3,000",2008,2024-07-01
 Toyota prius Standard Hatchback 4D,"Fort Mitchell, KY",223K miles,"$4,300",2008,2024-07-01
 Kia optima EX Sedan 4D,"Blanchester, OH",151K miles,"$4,800",2010,2024-07-01
 Honda cr-v EX Sport Utility 4D,"Cincinnati, OH",150K miles,"$7,800",2011,2024-07-01
 Honda civic EX Hatchback 4D,"Cincinnati, OH",132K miles,"$16,000",2017,2024-07-01
 Nissan versa SL Sedan 4D,"Cincinnati, OH",160K miles,"$3,500",2013,2024-07-01
 Nissan sentra SR,"New Vienna, OH",2.9K miles,"$22,400",2024,2024-07-01
 Hyundai elantra Blue Sedan 4D,"Cincinnati, OH",201K miles,"$2,995",2010,2024-07-01
 Nissan versa SL Sedan 4D,"Cincinnati, OH",160K miles,"$3,500",2013,2024-07-01
 Toyota camry LE Sedan 4D,"Fort Mitchell, KY",190K miles,"$2,500",2009,2024-07-01
 Ford focus SES Coupe 2D,"Cincinnati, OH",100K miles,"$4,300",2010,2024-07-01
 Ford fusion S Sedan 4D,"Cincinnati, OH",118K miles,"$3,999",2010,2024-07-01
 Hyundai tiburon GT Coupe 2D,"Latonia, KY",185K miles,"$1,400",2003,2024-07-01
 BMW 3 series 323i Convertible 2D,"Fort Thomas, KY",169K miles,"$5,000",1999,2024-07-01
 Kia amanti Sedan 4D,"Cincinnati, OH",87K miles · Dealership,"$4,995",2006,2024-07-01
 Nissan versa S Hatchback 4D,"Cincinnati, OH",190K miles,"$2,500",2012,2024-07-01
 Hyundai sonata Limited Sedan 4D,"Dayton, OH",150K miles · Dealership,"$2,995",2009,2024-07-01
 Pontiac g6 Sedan 4D,"Independence, KY",130K miles,"$4,350",2009,2024-07-01
 Saturn s-series SL1 Sedan 4D,"Latonia, KY",138K miles,$990,1998,2024-07-01
 Pontiac firebird Formula Coupe 2D,"Latonia, KY",584 miles,"$15,000",1979,2024-07-01
 Honda city CZ-i,"Cincinnati, OH",130K miles,"$10,000",1992,2024-07-01
 Saturn aura xe,"Cincinnati, OH",169K miles,"$3,795",2007,2024-07-01
 Dodge journey SXT,"Cincinnati, OH",85K miles,"$1,000",2018,2024-07-01
 Nissan maxima SE Sedan 4D,"Cincinnati, OH",196K miles,"$2,300",2008,2024-07-01
 Buick regal LS Sedan 4D,"Covington, KY",170K miles,$950,2000,2024-07-01
 Chevrolet cruze LT Sedan 4D,"Fort Mitchell, KY",130K miles,"$1,000",2013,2024-07-01
 Bentley flying spur v12 engine Willing to part out,"Cincinnati, OH",65K miles,"$10,000",2006,2024-07-01
 Dodge caliber SRT4 Sport Wagon 4D,"Cincinnati, OH",117K miles,"$6,885",2008,2024-07-01
